sample_id,video_path,frame_idx,status,error,frame_encode_ms,frame_prefill_ms,frame_generate_ms,frame_e2e_ms,prompt_text,generated_text,original_question,choices_json,gold_idx,mode
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,0,ok,,423.095,29.205,660.919,691.159,What is happening now?,"The child is now sitting in a blue chair, holding a green cup with a straw, and appears to be drinking from it.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,1,ok,,21.109,23.611,651.957,697.490,What is happening now?,"The child is now sitting in a blue chair, holding a green cup with a straw, and appears to be drinking from it.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,2,ok,,31.667,24.258,431.085,487.834,What is happening now?,"The child is now holding a green cup and a spoon, ready to eat.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,3,ok,,17.654,27.152,416.684,462.314,What is happening now?,"The child is now sitting on a blue chair, holding a green toy.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,4,ok,,16.137,29.017,410.286,456.188,What is happening now?,"The child is now sitting on a blue chair, holding a green toy.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,5,ok,,16.047,28.776,410.807,456.383,What is happening now?,"The child is now sitting on a blue chair, holding a green toy.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,6,ok,,15.873,29.185,368.581,414.345,What is happening now?,"The child is now holding a green cup, examining it closely.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,7,ok,,15.978,28.450,367.008,412.154,What is happening now?,"The child is now holding a green cup, examining it closely.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,8,ok,,16.044,28.553,585.026,630.335,What is happening now?,"The child is now sitting in a blue chair, holding a green cup, and appears to be drinking from it.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,9,ok,,16.017,28.631,582.467,627.844,What is happening now?,"The child is now sitting in a blue chair, holding a green cup, and appears to be drinking from it.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,10,ok,,15.917,28.749,412.354,457.778,What is happening now?,"The child is now sitting on a blue chair, holding a green cup.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,11,ok,,16.037,28.980,411.097,456.843,What is happening now?,"The child is now sitting on a blue chair, holding a green toy.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,12,ok,,15.962,28.886,412.441,457.996,What is happening now?,"The child is now sitting on a blue chair, holding a green toy.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,13,ok,,15.964,29.227,541.801,587.726,What is happening now?,"The child is now holding a green toy, possibly a ball, and appears to be examining it closely.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
8,/home/nxc/sooyoung7896/kvcache_exp/data/NExTVideo/1101/2574374895.mp4,14,ok,,18.873,28.239,412.719,460.648,What is happening now?,"The child is now sitting on a blue chair, holding a green cup.",what did the baby do after throwing the green cup away while on the floor near the end,"[""clap proudly"", ""the lady sitting down"", ""lay on floor"", ""just picked it up"", ""crawl""]",2,baseline
